ID,IsSoftwareDev,Age,Gender,BootcampName,BootcampFinish,BootcampLoan,BootcampRecommend,HoursLearning,MonthsProgramming,CityPopulation,CodeEvents,PodcastsListen,ResourcesUse,SchoolDegree
f1505a52406410db0f0129fa1076c707,1,27,male,General Assembly,1,1,1,20,7,"100,000 - 1 million",4,4,3,Bachelor's and Higher
f0f9e2412fa799d329539358c0471226,0,,,Other,0,0,1,55,1,,8,4,8,
f0b877dadaad5dcd63aa5b1568d68d02,0,24,female,Other,0,1,0,60,2,"100,000 - 1 million",0,1,4,Less than Bachelor's
f05e9697360763afc319ab4e8beef0d3,1,26,male,Flatiron School,1,0,1,4,2,>1 million,0,0,2,Bachelor's and Higher
f008989824ede79c076a0053dc9bf4b0,0,30,female,Other,1,0,0,50,6,>1 million,1,0,3,Bachelor's and Higher
effc3ea74614e3cdcbbc246cafe4c198,0,26,male,Turing,0,1,1,60,14,"100,000 - 1 million",1,2,2,Less than Bachelor's
ef839bd5b5e6b7af9498295a951f910a,1,34,male,General Assembly,1,0,0,3,12,"100,000 - 1 million",1,0,4,Bachelor's and Higher
ef8104d76eea9e0af18dc27fa3000778,1,26,female,Other,1,0,1,4,34,>1 million,1,0,1,Bachelor's and Higher
ef6cb7939c13e1a152cd77d3d8d59669,0,30,male,Flatiron School,0,0,1,40,3,"<100,000",0,0,4,Bachelor's and Higher
ef31859cab89bb037119d922f7cb5e20,0,24,male,Other,1,1,1,10,6,"<100,000",3,0,2,Bachelor's and Higher
eef8008fd1b17c4969826aee1bd12407,1,31,male,Other,1,0,1,25,14,>1 million,0,0,4,Bachelor's and Higher
ee7b1a34127df1f52c043820daa4a150,0,37,male,Other,1,1,1,40,8,"100,000 - 1 million",2,0,4,Less than Bachelor's
ee4405391a2f63f61b76c3a871d71566,1,33,female,Other,1,0,0,2,24,"100,000 - 1 million",1,0,4,Bachelor's and Higher
ee25a6e9e0204dfc0b12124d94bfb13f,1,25,female,Other,1,0,1,20,16,"100,000 - 1 million",3,2,3,Bachelor's and Higher
edec9a33d9b1811f223300ab497a6cd8,1,24,male,Other,1,1,1,10,12,"100,000 - 1 million",1,0,2,Bachelor's and Higher
ed8d10509344dfcaec718e9315d5d842,1,31,male,Other,1,0,1,15,7,"100,000 - 1 million",1,1,5,Bachelor's and Higher
